alphaDeg,betaDeg,s1Area,s2Area
0.0,0.0,948.5449052567727,0.0
53.35,-117.95,31.526781533100834,189.7776223432189
134.05,40.7,17.819485214361347,76.98385234852718
-123.4,166.45000000000002,397.51159324344536,70.30694409006809
6.6000000000000005,-153.75,27.414592637478986,98.44001290269658
45.650000000000006,-88.85000000000001,245.36060410543695,249.44683870702062
109.35000000000001,114.4,193.27287809422685,227.78205382704581
172.4,0.65,148.0388002423866,186.7187422949966
-16.2,91.25,179.5655817754874,235.08502470124984
-132.3,16.900000000000002,19.190214846235296,21.35602975164619
16.650000000000002,-147.8,26.04386300560504,52.59013614946555
-29.55,127.2,13.707296318739495,78.18719706914386
128.20000000000002,-144.25,376.9506487653361,87.13501453202201
-147.35,-85.45,100.06326312679829,239.7505058501906
134.9,-133.6,390.6579450840756,95.4620024145226
79.2,-143.6,63.053563066201676,230.63210992132932
-124.80000000000001,164.4,397.51159324344525,63.363382936678704
18.0,-145.75,28.785322269352935,39.92577188748091
-127.60000000000001,14.350000000000001,15.078025950613444,45.82914136395321
11.950000000000001,-145.25,37.00970006059664,49.16963132127629
6.6000000000000005,-153.60000000000002,27.41459263747899,97.63886081816946
16.650000000000002,-148.0,50.71699637933613,53.45959877760299
-124.0,163.70000000000002,407.1067006665629,69.93065210638488
17.25,-145.05,23.302403741857145,38.152865585433254
134.3,41.5,21.93167410998319,78.70398272826453
127.95,-145.05,389.2872154522016,85.97140780476524
-29.0,124.65,15.078025950613444,91.36631318052586
-137.20000000000002,10.9,26.043863005605033,9.188642934764363
26.85,-141.6,12.336566686865545,4.283697562649681
-127.55000000000001,14.3,17.819485214361343,46.05159795542341
-132.4,16.900000000000002,17.819485214361347,20.82059130488053
-137.15,14.450000000000001,12.336566686865543,4.403697377811301
26.75,-145.15,21.93167410998319,14.551481540236884
-132.35,16.95,21.931674109983188,21.162906891577833
-137.20000000000002,10.850000000000001,15.078025950613444,9.23747163551853
-132.3,16.95,16.448755582487394,21.43046713723337
-132.3,16.75,12.336566686865543,21.131202180093357
-137.20000000000002,11.05,20.56094447810924,9.04080308649937
-132.45000000000002,16.75,21.93167410998319,20.329685795437403
-132.3,16.7,17.819485214361347,21.056208965399637
-140.70000000000002,8.65,15.07802595061344,29.9811847529696
30.35,-139.4,13.707296318739495,16.336788502228583
23.75,-140.75,15.078025950613444,3.990782730518603
-129.20000000000002,16.05,12.336566686865543,37.56023061886726
-146.65,15.25,32.89751116497479,50.20814384740955
36.35,-142.4,23.302403741857145,23.15998140244082
26.8,-141.6,27.41459263747899,4.246298409404311
23.8,-140.75,20.560944478109242,3.8745371036183207
28.1,-133.1,10.965837054991596,39.5100391084683
-138.45000000000002,5.95,10.965837054991598,19.974328643570853
24.05,-140.75,17.819485214361343,3.2898084948402655
26.55,-141.5,21.931674109983195,4.198880013970579
23.8,-140.8,12.336566686865545,4.097610424213769
26.75,-141.55,13.707296318739495,4.280506962018724
-139.5,11.9,23.302403741857145,19.95432885709655
24.05,-140.70000000000002,17.819485214361347,3.2832182961299523
26.650000000000002,-141.6,20.56094447810924,4.130696495753373
24.05,-140.65,31.526781533100838,3.3428154227091462
24.0,-140.70000000000002,26.043863005605036,3.260018099460138
